"","player_name","team_name","action_type","shot_zone_range","shot_zone","shot_type"
"827","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"828","Stephen Curry","Golden State Warriors","Driving Finger Roll Layup Shot","Less Than 8 ft.",1,"Layup"
"829","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"830","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"831","Stephen Curry","Golden State Warriors","Layup Shot","Less Than 8 ft.",1,"Layup"
"832","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"833","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"834","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"835","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"836","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"837","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"838","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"839","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"840","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"841","Stephen Curry","Golden State Warriors","Reverse Layup Shot","Less Than 8 ft.",1,"Layup"
"842","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"843","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"844","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"845","Stephen Curry","Golden State Warriors","Driving Layup Shot","Less Than 8 ft.",1,"Layup"
"846","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
"847","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"848","Stephen Curry","Golden State Warriors","Running Jump Shot","Less Than 8 ft.",1,"Jump"
"849","Stephen Curry","Golden State Warriors","Jump Shot","8-16 ft.",2,"Jump"
"850","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"851","Stephen Curry","Golden State Warriors","Fadeaway Jump Shot","8-16 ft.",2,"Jump"
"852","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"853","Stephen Curry","Golden State Warriors","Jump Shot","24+ ft.",4,"Jump"
"854","Stephen Curry","Golden State Warriors","Jump Shot","16-24 ft.",3,"Jump"
