"","player_id","player_name","player_last_team_id","player_last_team_abbreviation","age","gp","g","fga_frequency","fgm","fga","fg_pct","efg_pct","fg2a_frequency","fg2m","fg2a","fg2_pct","fg3a_frequency","fg3m","fg3a","fg3_pct"
"123","79","10","0.009","4","10","0.4","0.4","0.009","4","10","0.4","0","0","0","1890","Shawn Marion","1610612739","CLE","37","56"
"124","9","0.038","3","10","0.3","0.3","0.038","3","10","0.3","0","0","0","203469","Cody Zeller","1610612766","CHA","22","62","10"
"125","0.027","3","10","0.3","0.3","0.027","3","10","0.3","0","0","0","203090","Maurice Harkless","1610612753","ORL","22","45","6","0.064"
"126","2","10","0.2","0.2","0.064","2","10","0.2","0","0","0","201160","Jason Smith","1610612752","NYK","29","81","10","0.017","1"
"127","10","0.1","0.1","0.017","1","10","0.1","0","0","0","202681","Kyrie Irving","1610612739","CLE","23","74","9","0.007","6","9"
"128","0.667","0.722","0.007","5","8","0.625","0.001","1","1","1","203081","Damian Lillard","1610612757","POR","24","82","8","0.007","5","9"
"129","0.556","0.556","0.007","5","9","0.556","0","0","0","202703","Nikola Mirotic","1610612741","CHI","24","82","9","0.015","5","9","0.556"
"130","0.556","0.015","5","9","0.556","0","0","0","202688","Brandon Knight","1610612756","PHX","23","62","8","0.01","5","9","0.556","0.556"
"131","0.01","5","9","0.556","0","0","0","203460","Andre Roberson","1610612760","OKC","23","67","8","0.045","4","9","0.444","0.444","0.045"
"132","4","9","0.444","0","0","0","202330","Gordon Hayward","1610612762","UTA","25","76","8","0.008","4","9","0.444","0.444","0.008","4"
"133","9","0.444","0","0","0","203482","Kelly Olynyk","1610612738","BOS","24","64","9","0.017","4","9","0.444","0.444","0.017","4","9"
"134","0.444","0","0","0","202718","Chandler Parsons","1610612742","DAL","26","66","7","0.011","3","9","0.333","0.333","0.011","3","9","0.333"
"135","0","0","0","2772","Trevor Ariza","1610612745","HOU","29","81","9","0.01","3","9","0.333","0.333","0.01","3","9","0.333","0"
"136","0","0","101131","Jason Maxiell","1610612766","CHA","32","61","8","0.048","2","9","0.222","0.222","0.048","2","9","0.222","0","0"
"137","0","201147","Corey Brewer","1610612745","HOU","29","79","9","0.011","1","9","0.111","0.111","0.011","1","9","0.111","0","0","0"
"138","202695","Kawhi Leonard","1610612759","SAS","24","64","8","0.01","7","8","0.875","0.875","0.01","7","8","0.875","0","0","0","203128"
"139","Furkan Aldemir","1610612755","PHI","23","41","8","0.104","6","8","0.75","0.75","0.104","6","8","0.75","0","0","0","203078","Bradley Beal"
"140","1610612764","WAS","22","63","8","0.009","6","8","0.75","0.75","0.009","6","8","0.75","0","0","0","203940","Adreian Payne","1610612750"
"141","MIN","24","32","5","0.036","5","8","0.625","0.625","0.036","5","8","0.625","0","0","0","201595","Joey Dorsey","1610612745","HOU"
"142","31","68","7","0.056","5","8","0.625","0.625","0.056","5","8","0.625","0","0","0","101107","Marvin Williams","1610612766","CHA","29"
"143","78","8","0.016","5","8","0.625","0.625","0.016","5","8","0.625","0","0","0","2403","Nene","1610612764","WAS","32","67"
"144","8","0.013","5","8","0.625","0.625","0.013","5","8","0.625","0","0","0","202325","Wesley Johnson","1610612747","LAL","27","76","8"
"145","0.012","5","8","0.625","0.625","0.012","5","8","0.625","0","0","0","2501","Reggie Evans","1610612758","SAC","35","47","7","0.059"
"146","5","8","0.625","0.625","0.059","5","8","0.625","0","0","0","203490","Otto Porter","1610612764","WAS","22","74","8","0.02","4"
"147","8","0.5","0.5","0.02","4","8","0.5","0","0","0","200761","Shawne Williams","1610612765","DET","29","62","8","0.027","4","8"
"148","0.5","0.5","0.027","4","8","0.5","0","0","0","200777","Joel Freeland","1610612757","POR","28","48","8","0.053","4","8","0.5"
"149","0.5","0.053","4","8","0.5","0","0","0","203516","James Ennis","1610612748","MIA","24","62","7","0.033","4","8","0.5","0.5"
"150","0.033","4","8","0.5","0","0","0","201935","James Harden","1610612745","HOU","25","80","7","0.006","3","8","0.375","0.375","0.006"
"151","3","8","0.375","0","0","0","203109","Jae Crowder","1610612738","BOS","24","82","8","0.015","3","8","0.375","0.375","0.015","3"
"152","8","0.375","0","0","0","203903","Jordan Clarkson","1610612747","LAL","23","59","8","0.014","3","8","0.375","0.375","0.014","3","8"
"153","0.375","0","0","0","201587","Nicolas Batum","1610612757","POR","26","71","7","0.013","3","8","0.375","0.375","0.013","3","8","0.375"
"154","0","0","0","2223","Samuel Dalembert","1610612752","NYK","35","32","6","0.062","3","8","0.375","0.375","0.062","3","8","0.375","0"
"155","0","0","2548","Dwyane Wade","1610612748","MIA","33","61","6","0.008","2","8","0.25","0.25","0.008","2","8","0.25","0","0"
"156","0","203488","Mike Muscala","1610612737","ATL","23","40","6","0.054","2","8","0.25","0.25","0.054","2","8","0.25","0","0","0"
"157","202340","Avery Bradley","1610612738","BOS","24","77","5","0.007","4","7","0.571","0.571","0.007","4","7","0.571","0","0","0","201188"
"158","Marc Gasol","1610612763","MEM","30","81","7","0.007","4","7","0.571","0.571","0.007","4","7","0.571","0","0","0","202682","Derrick Williams"
"159","1610612758","SAC","24","74","4","0.015","4","7","0.571","0.571","0.015","4","7","0.571","0","0","0","203142","Chris Copeland","1610612754"
"160","IND","31","50","6","0.023","4","7","0.571","0.571","0.023","4","7","0.571","0","0","0","2399","Mike Dunleavy","1610612741","CHI"
"161","34","63","7","0.015","3","7","0.429","0.429","0.015","3","7","0.429","0","0","0","2544","LeBron James","1610612739","CLE","30"
"162","68","6","0.006","3","7","0.429","0.429","0.006","3","7","0.429","0","0","0","203544","Pero Antic","1610612737","ATL","32","63"
"163","7","0.024","3","7","0.429","0.429","0.02","3","6","0.5","0.003","0","1","0","201150","Spencer Hawes","1610612746","LAC","27","73"
"164","6","0.017","3","7","0.429","0.429","0.017","3","7","0.429","0","0","0","201965","Jeff Ayres","1610612759","SAS","28","51","6"
"165","0.074","3","7","0.429","0.429","0.074","3","7","0.429","0","0","0","203530","Joffrey Lauvergne","1610612743","DEN","23","24","6","0.079"
"166","2","7","0.286","0.286","0.079","2","7","0.286","0","0","0","201145","Jeff Green","1610612763","MEM","28","78","6","0.007","1"
"167","7","0.143","0.143","0.007","1","7","0.143","0","0","0","202066","Garrett Temple","1610612764","WAS","29","52","5","0.035","5","6"
"168","0.833","0.833","0.035","5","6","0.833","0","0","0","203928","Cory Jefferson","1610612751","BKN","24","50","6","0.039","5","6","0.833"
"169","0.833","0.039","5","6","0.833","0","0","0","203114","Khris Middleton","1610612749","MIL","23","78","6","0.007","5","6","0.833","0.833"
"170","0.007","5","6","0.833","0","0","0","202087","Alonzo Gee","1610612757","POR","28","54","5","0.032","5","6","0.833","0.833","0.032"
"171","5","6","0.833","0","0","0","202362","Lance Stephenson","1610612766","CHA","24","61","5","0.011","4","6","0.667","0.667","0.011","4"
"172","6","0.667","0","0","0","201956","Omri Casspi","1610612758","SAC","27","67","6","0.014","4","6","0.667","0.667","0.014","4","6"
"173","0.667","0","0","0","1718","Paul Pierce","1610612764","WAS","37","73","5","0.009","4","6","0.667","0.667","0.009","4","6","0.667"
"174","0","0","0","200768","Kyle Lowry","1610612761","TOR","29","70","6","0.006","4","6","0.667","0.667","0.006","4","6","0.667","0"
"175","0","0","203105","Festus Ezeli","1610612744","GSW","25","46","5","0.044","4","6","0.667","0.667","0.044","4","6","0.667","0","0"
"176","0","202339","Eric Bledsoe","1610612756","PHX","25","81","6","0.006","3","6","0.5","0.5","0.006","3","6","0.5","0","0","0"
"177","201627","Anthony Morrow","1610612760","OKC","29","74","5","0.01","3","6","0.5","0.5","0.01","3","6","0.5","0","0","0","203935"
"178","Marcus Smart","1610612738","BOS","21","67","6","0.013","3","6","0.5","0.5","0.013","3","6","0.5","0","0","0","203924","Jerami Grant"
"179","1610612755","PHI","21","65","5","0.017","3","6","0.5","0.5","0.017","3","6","0.5","0","0","0","201971","DeJuan Blair","1610612764"
"180","WAS","26","29","6","0.105","3","6","0.5","0.5","0.105","3","6","0.5","0","0","0","201978","Chase Budinger","1610612750","MIN"
"181","27","66","5","0.016","3","6","0.5","0.5","0.016","3","6","0.5","0","0","0","101123","Gerald Green","1610612756","PHX","29"
"182","74","6","0.008","3","6","0.5","0.583","0.006","2","5","0.4","0.001","1","1","1","2419","Tayshaun Prince","1610612765","DET","35"
"183","58","6","0.015","2","6","0.333","0.333","0.015","2","6","0.333","0","0","0","203949","James Michael McAdoo","1610612744","GSW","22","15"
"184","3","0.068","2","6","0.333","0.333","0.068","2","6","0.333","0","0","0","202407","Elijah Millsap","1610612762","UTA","27","47","5"
"185","0.026","2","6","0.333","0.333","0.026","2","6","0.333","0","0","0","2207","Joe Johnson","1610612751","BKN","34","80","5","0.006"
"186","2","6","0.333","0.333","0.005","2","5","0.4","0.001","0","1","0","2440","Matt Barnes","1610612746","LAC","35","76","6","0.01"
"187","2","6","0.333","0.333","0.01","2","6","0.333","0","0","0","1717","Dirk Nowitzki","1610612742","DAL","37","77","4","0.006","2"
"188","6","0.333","0.333","0.006","2","6","0.333","0","0","0","1713","Vince Carter","1610612763","MEM","38","66","6","0.015","1","6"
"189","0.167","0.167","0.015","1","6","0.167","0","0","0","201202","Joel Anthony","1610612765","DET","32","49","6","0.098","0","6","0"
"190","0","0.098","0","6","0","0","0","0","203115","Will Barton","1610612743","DEN","24","58","5","0.014","5","5","1","1"
"191","0.014","5","5","1","0","0","0","204037","Travis Wear","1610612752","NYK","24","50","4","0.025","4","5","0.8","0.8","0.025"
