person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag
201967,Cunningham, Dante,Dante Cunningham,TRUE,2009,2015,dante_cunningham,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
203099,Cunningham, Jared,Jared Cunningham,TRUE,2012,2015,jared_cunningham,1610612749,Milwaukee,Bucks,MIL,bucks,Y
203552,Curry, Seth,Seth Curry,TRUE,2013,2015,seth_curry,1610612758,Sacramento,Kings,SAC,kings,Y
201939,Curry, Stephen,Stephen Curry,TRUE,2009,2015,stephen_curry,1610612744,Golden State,Warriors,GSW,warriors,Y
203584,Daniels, Troy,Troy Daniels,TRUE,2013,2015,troy_daniels,1610612766,Charlotte,Hornets,CHA,hornets,Y
203076,Davis, Anthony,Anthony Davis,TRUE,2012,2015,anthony_davis,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
202334,Davis, Ed,Ed Davis,TRUE,2010,2015,ed_davis,1610612757,Portland,Trail Blazers,POR,blazers,Y
1626183,Dawson, Branden,Branden Dawson,TRUE,2015,2015,branden_dawson,1610612746,Los Angeles,Clippers,LAC,clippers,Y
201942,DeRozan, DeMar,DeMar DeRozan,TRUE,2009,2015,demar_derozan,1610612761,Toronto,Raptors,TOR,raptors,Y
203473,Dedmon, Dewayne,Dewayne Dedmon,TRUE,2013,2015,dewayne_dedmon,1610612753,Orlando,Magic,ORL,magic,Y
1626214,Dejean-Jones, Bryce,Bryce Dejean-Jones,TRUE,2015,2015,bryce_dejean-jones,1610612740,New Orleans,Pelicans,NOP,pelicans,Y
1626155,Dekker, Sam,Sam Dekker,TRUE,2015,2015,sam_dekker,1610612745,Houston,Rockets,HOU,rockets,Y
203521,Dellavedova, Matthew,Matthew Dellavedova,TRUE,2013,2015,matthew_dellavedova,1610612739,Cleveland,Cavaliers,CLE,cavaliers,Y
