"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"45","Shot Chart Detail","0041400171","411","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","3","0","1","Missed Shot","Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,-1.9,10.45,1,"missed",0,2
"46","Shot Chart Detail","0041400171","422","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","11","13","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",21,-13.6,21.75,1,"missed",0,2
"47","Shot Chart Detail","0041400171","426","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","10","33","Missed Shot","Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.3,5.25,1,"missed",0,2
"48","Shot Chart Detail","0041400171","427","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","10","32","Made Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1.6,4.95,1,"made",1,2
"49","Shot Chart Detail","0041400171","431","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","10","2","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,2.1,6.65,1,"missed",0,2
"50","Shot Chart Detail","0041400171","433","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","10","1","Missed Shot","Tip Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1,6.15,1,"missed",0,2
"51","Shot Chart Detail","0041400171","469","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","7","15","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-10.1,30.15,1,"missed",0,3
"52","Shot Chart Detail","0041400171","482","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","5","51","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",20,-15.5,19.25,1,"missed",0,2
"53","Shot Chart Detail","0041400171","509","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","4","3","19","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-12,28.75,1,"made",1,3
"54","Shot Chart Detail","0041400172","3","200746","LaMarcus Aldridge","1610612757","Portland Trail Blazers","1","11","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",21,-13.3,21.65,1,"missed",0,2
