Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
CJ Miles	IND	59	19	2.7%	1.00	19	6	16	37.5	46.9	10.5%	5.3%	5.3%	0.0%	42.1%	89.2
Josh Smith	HOU	18	21	11.5%	0.90	19	9	19	47.4	50.0	4.8%	4.8%	0.0%	0.0%	42.9%	70.2
Leandro Barbosa	GSW	63	25	6.0%	0.76	19	5	17	29.4	29.4	24.0%	16.0%	24.0%	8.0%	36.0%	40.0
Marcus Smart	BOS	55	29	4.6%	0.66	19	6	24	25.0	31.3	10.3%	6.9%	10.3%	0.0%	31.0%	21.8
Shabazz Muhammad	MIN	76	40	5.2%	0.47	19	7	29	24.1	24.1	10.0%	17.5%	10.0%	0.0%	27.5%	6.5
Amir Johnson	BOS	73	17	3.2%	1.06	18	9	15	60.0	60.0	0.0%	11.8%	0.0%	0.0%	52.9%	94.5
Shelvin Mack	UTA	22	18	5.3%	1.00	18	7	15	46.7	60.0	0.0%	16.7%	0.0%	0.0%	38.9%	89.2
TJ Warren	PHX	47	21	4.2%	0.86	18	8	18	44.4	47.2	4.8%	9.5%	4.8%	0.0%	42.9%	62.3
Myles Turner	IND	52	25	4.3%	0.72	18	9	21	42.9	42.9	4.0%	16.0%	4.0%	4.0%	36.0%	32.4
Jeff Green	LAC	20	26	11.4%	0.69	18	9	23	39.1	39.1	3.8%	7.7%	3.8%	0.0%	34.6%	27.7
Randy Foye	DEN	54	30	7.4%	0.60	18	8	28	28.6	32.1	0.0%	6.7%	0.0%	0.0%	26.7%	16.5
Gorgui Dieng	MIN	76	30	3.9%	0.60	18	8	26	30.8	30.8	3.3%	10.0%	3.3%	0.0%	30.0%	16.5
Trey Lyles	UTA	71	18	3.9%	0.94	17	4	11	36.4	36.4	33.3%	11.1%	27.8%	5.6%	50.0%	76.4
Terrence Jones	HOU	49	27	5.8%	0.63	17	5	22	22.7	25.0	14.8%	3.7%	14.8%	0.0%	33.3%	19.3
Luol Deng	MIA	67	34	4.2%	0.50	17	7	30	23.3	23.3	5.9%	5.9%	5.9%	0.0%	26.5%	7.0
Tyler Johnson	MIA	35	16	5.0%	1.00	16	6	12	50.0	50.0	18.8%	12.5%	18.8%	6.3%	50.0%	89.2
OJ Mayo	MIL	41	16	3.9%	1.00	16	6	13	46.2	50.0	18.8%	12.5%	12.5%	12.5%	43.8%	89.2
Hassan Whiteside	MIA	66	18	2.1%	0.89	16	6	15	40.0	40.0	11.1%	5.6%	5.6%	0.0%	44.4%	67.6
Mario Hezonja	ORL	70	19	3.9%	0.84	16	6	15	40.0	46.7	10.5%	15.8%	10.5%	5.3%	36.8%	58.0
Shabazz Napier	ORL	50	19	7.4%	0.84	16	5	17	29.4	35.3	15.8%	0.0%	15.8%	5.3%	36.8%	58.0
Norris Cole	NOP	45	22	3.8%	0.73	16	7	22	31.8	36.4	0.0%	0.0%	0.0%	0.0%	31.8%	33.2
Jonathan Simmons	SAS	51	25	8.4%	0.64	16	4	15	26.7	26.7	20.0%	24.0%	20.0%	4.0%	32.0%	20.0
Toney Douglas	NOP	53	28	6.3%	0.57	16	5	22	22.7	27.3	7.1%	14.3%	7.1%	0.0%	25.0%	14.2
Taj Gibson	CHI	73	11	1.7%	1.36	15	7	10	70.0	70.0	27.3%	0.0%	18.2%	18.2%	63.6%	99.3
Patty Mills	SAS	74	16	2.5%	0.94	15	6	13	46.2	50.0	6.3%	12.5%	0.0%	0.0%	43.8%	75.6
Ben McLemore	SAC	61	18	3.5%	0.83	15	5	13	38.5	42.3	11.1%	16.7%	11.1%	0.0%	38.9%	54.2
Gerald Green	MIA	63	21	3.3%	0.71	15	7	21	33.3	35.7	0.0%	0.0%	0.0%	0.0%	33.3%	30.4
Metta World Peace	LAL	31	22	11.8%	0.68	15	5	17	29.4	29.4	13.6%	13.6%	13.6%	4.5%	31.8%	25.5
Marcus Thornton	HOU	47	23	4.6%	0.65	15	7	22	31.8	34.1	0.0%	4.3%	0.0%	0.0%	30.4%	21.5
Nemanja Bjelica	MIN	51	26	9.8%	0.58	15	4	19	21.1	26.3	19.2%	7.7%	11.5%	0.0%	30.8%	14.9
Brandon Bass	LAL	66	28	6.5%	0.54	15	5	21	23.8	23.8	10.7%	14.3%	10.7%	0.0%	28.6%	10.2
Tyus Jones	MIN	31	11	6.3%	1.27	14	5	10	50.0	60.0	18.2%	9.1%	18.2%	18.2%	45.5%	98.5
Maurice Williams	CLE	37	15	4.1%	0.93	14	6	13	46.2	50.0	6.7%	6.7%	6.7%	0.0%	46.7%	74.0
Kendall Marshall	PHI	26	15	10.3%	0.93	14	7	13	53.8	53.8	6.7%	6.7%	6.7%	0.0%	46.7%	74.0
