Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Thabo Sefolosha	ATL	69	33	7.2%	0.67	22	4	9	44.4	50.0	30.3%	42.4%	3.0%	0.0%	39.4%	74.0
Frank Kaminsky	CHA	73	35	6.0%	0.63	22	3	9	33.3	33.3	31.4%	42.9%	5.7%	0.0%	40.0%	69.8
Taj Gibson	CHI	73	41	6.4%	0.54	22	4	7	57.1	57.1	22.0%	61.0%	2.4%	0.0%	31.7%	56.5
Jabari Parker	MIL	70	48	4.9%	0.46	22	10	23	43.5	43.5	4.2%	50.0%	2.1%	2.1%	22.9%	44.3
Markieff Morris	PHX	38	49	8.7%	0.45	22	5	12	41.7	41.7	16.3%	61.2%	4.1%	2.0%	22.4%	43.2
Trevor Booker	UTA	73	51	10.4%	0.43	22	2	6	33.3	33.3	23.5%	64.7%	0.0%	0.0%	27.5%	38.8
Michael Carter-Williams	MIL	54	62	7.9%	0.35	22	3	11	27.3	31.8	16.1%	66.1%	1.6%	0.0%	21.0%	27.8
Harrison Barnes	GSW	60	26	3.8%	0.81	21	5	8	62.5	62.5	34.6%	42.3%	7.7%	7.7%	42.3%	90.3
Stanley Johnson	DET	69	29	4.0%	0.72	21	6	10	60.0	65.0	17.2%	48.3%	0.0%	0.0%	37.9%	79.5
Langston Galloway	NYK	77	39	6.1%	0.54	21	5	15	33.3	36.7	15.4%	46.2%	0.0%	0.0%	28.2%	56.9
Shaun Livingston	GSW	72	42	9.2%	0.50	21	6	11	54.5	54.5	14.3%	61.9%	2.4%	2.4%	26.2%	49.9
Dennis Schroder	ATL	75	44	4.5%	0.48	21	6	14	42.9	46.4	9.1%	59.1%	2.3%	0.0%	22.7%	47.1
Al Horford	ATL	77	47	4.1%	0.45	21	4	6	66.7	66.7	17.0%	70.2%	0.0%	0.0%	25.5%	41.7
Clint Capela	HOU	70	47	9.2%	0.45	21	0	6	0.0	0.0	57.4%	29.8%	2.1%	0.0%	38.3%	41.7
Derrick Favors	UTA	58	57	5.8%	0.37	21	6	11	54.5	54.5	15.8%	66.7%	1.8%	1.8%	22.8%	29.0
Robin Lopez	NYK	77	69	8.7%	0.30	21	4	8	50.0	50.0	11.6%	76.8%	1.4%	0.0%	17.4%	19.7
Tobias Harris	ORL	49	33	4.9%	0.61	20	2	5	40.0	50.0	27.3%	60.6%	6.1%	3.0%	30.3%	65.4
Ish Smith	PHI	45	35	4.2%	0.57	20	3	9	33.3	33.3	25.7%	48.6%	0.0%	0.0%	34.3%	61.1
Jeff Green	MEM	53	38	5.5%	0.53	20	2	9	22.2	27.8	21.1%	55.3%	2.6%	0.0%	26.3%	53.9
Jared Sullinger	BOS	75	63	6.8%	0.32	20	4	11	36.4	36.4	19.0%	65.1%	3.2%	1.6%	19.0%	21.1
DJ Augustin	DEN	23	18	6.4%	1.06	19	4	9	44.4	55.6	27.8%	22.2%	0.0%	0.0%	50.0%	98.6
Jahil Okafor	PHI	53	39	4.0%	0.49	19	7	16	43.8	43.8	10.3%	51.3%	5.1%	2.6%	25.6%	48.5
Justise Winslow	MIA	72	40	7.0%	0.47	19	3	8	37.5	37.5	20.0%	57.5%	7.5%	0.0%	27.5%	46.3
Meyers Leonard	POR	61	50	9.4%	0.38	19	1	9	11.1	11.1	20.0%	62.0%	2.0%	0.0%	22.0%	30.8
Cody Zeller	CHA	67	50	8.7%	0.38	19	1	5	20.0	20.0	28.0%	62.0%	2.0%	0.0%	26.0%	30.8
Kris Humphries	ATL	16	14	11.9%	1.29	18	1	2	50.0	50.0	85.7%	7.1%	14.3%	7.1%	78.6%	100.0
Alec Burks	UTA	28	20	4.6%	0.90	18	2	8	25.0	25.0	40.0%	20.0%	10.0%	0.0%	50.0%	95.6
Markel Brown	BKN	55	22	6.5%	0.82	18	3	6	50.0	50.0	36.4%	45.5%	9.1%	9.1%	40.9%	90.9
Brandon Bass	LAL	66	27	6.3%	0.67	18	4	7	57.1	57.1	25.9%	48.1%	7.4%	0.0%	40.7%	74.0
Arron Afflalo	NYK	66	29	3.3%	0.62	18	5	8	62.5	68.8	13.8%	62.1%	3.4%	3.4%	27.6%	68.2
