
Troy Daniels	CHA	37	18	10.2%	0.94	17	7	15	46.7	53.3	11.1%	5.6%	11.1%	0.0%	44.4%	67.3
Cory Joseph	TOR	74	22	3.1%	0.77	17	6	16	37.5	43.8	13.6%	22.7%	13.6%	9.1%	31.8%	35.1
Beno Udrih	MIA	36	27	13.4%	0.63	17	7	23	30.4	30.4	7.4%	7.4%	7.4%	0.0%	33.3%	11.1
Josh Richardson	MIA	43	11	4.1%	1.45	16	5	8	62.5	68.8	27.3%	0.0%	27.3%	0.0%	72.7%	99.1
Andre Iguodala	GSW	60	11	2.4%	1.45	16	8	11	72.7	72.7	0.0%	0.0%	0.0%	0.0%	72.7%	99.1
Kevin Martin	MIN	39	23	5.3%	0.70	16	5	16	31.3	37.5	8.7%	21.7%	8.7%	0.0%	30.4%	20.0
Danny Green	SAS	73	32	5.2%	0.50	16	6	26	23.1	26.9	3.1%	15.6%	3.1%	0.0%	21.9%	6.2
Kostas Papanikolaou	DEN	22	10	10.8%	1.50	15	6	10	60.0	75.0	0.0%	0.0%	0.0%	0.0%	60.0%	100.0
Chris Bosh	MIA	53	12	1.2%	1.25	15	5	10	50.0	55.0	25.0%	0.0%	25.0%	8.3%	58.3%	96.0
Bojan Bogdanovic	BKN	74	20	2.4%	0.75	15	6	15	40.0	43.3	5.0%	20.0%	5.0%	0.0%	35.0%	31.4
Anthony Morrow	OKC	58	21	6.7%	0.71	15	6	18	33.3	38.9	4.8%	9.5%	4.8%	0.0%	33.3%	24.0
Anthony Brown	LAL	27	11	7.4%	1.27	14	6	9	66.7	66.7	9.1%	9.1%	0.0%	0.0%	63.6%	97.3
Greivis Vasquez	MIL	18	12	7.4%	1.17	14	5	10	50.0	50.0	25.0%	0.0%	16.7%	8.3%	58.3%	89.8
Justin Anderson	DAL	45	14	7.6%	1.00	14	5	13	38.5	53.8	0.0%	7.1%	0.0%	0.0%	35.7%	77.2
Eric Bledsoe	PHX	32	18	2.7%	0.78	14	6	15	40.0	43.3	5.6%	11.1%	5.6%	0.0%	38.9%	36.4
Kevin Love	CLE	72	19	1.6%	0.74	14	4	17	23.5	35.3	5.3%	5.3%	5.3%	0.0%	26.3%	29.6
Glenn Robinson III	IND	38	10	6.0%	1.30	13	5	10	50.0	65.0	0.0%	0.0%	0.0%	0.0%	50.0%	97.8
Charlie Villanueva	DAL	54	13	3.7%	1.00	13	5	12	41.7	54.2	0.0%	7.7%	0.0%	0.0%	38.5%	77.2
Lance Stephenson	MEM	21	14	4.4%	0.93	13	5	11	45.5	45.5	21.4%	7.1%	21.4%	7.1%	50.0%	64.2
Joe Johnson	BKN	57	15	1.9%	0.87	13	5	12	41.7	45.8	6.7%	13.3%	0.0%	0.0%	40.0%	53.1
Ryan Anderson	NOP	66	15	1.3%	0.87	13	3	9	33.3	38.9	20.0%	20.0%	20.0%	0.0%	40.0%	53.1
Paul Millsap	ATL	76	12	0.9%	1.00	12	4	10	40.0	50.0	8.3%	8.3%	8.3%	0.0%	41.7%	77.2
Courtney Lee	CHA	21	14	7.4%	0.86	12	5	10	50.0	55.0	7.1%	28.6%	7.1%	7.1%	35.7%	50.9
Brandon Jennings	DET	23	14	7.7%	0.86	12	4	10	40.0	50.0	7.1%	21.4%	7.1%	0.0%	35.7%	50.9
Garrett Temple	WAS	72	15	2.6%	0.80	12	4	10	40.0	50.0	6.7%	26.7%	6.7%	0.0%	33.3%	41.3
Justin Holiday	CHI	19	15	12.4%	0.80	12	5	13	38.5	42.3	6.7%	13.3%	6.7%	6.7%	33.3%	41.3
DJ Augustin	OKC	34	16	9.5%	0.75	12	5	13	38.5	46.2	0.0%	18.8%	0.0%	0.0%	31.3%	31.4
Kelly Oubre Jr.	WAS	50	16	7.0%	0.75	12	5	14	35.7	35.7	18.8%	0.0%	18.8%	6.3%	43.8%	31.4
Aaron Gordon	ORL	75	17	2.5%	0.71	12	5	16	31.3	37.5	0.0%	5.9%	0.0%	0.0%	29.4%	22.1
Maurice Harkless	POR	71	12	2.7%	0.92	11	4	10	40.0	50.0	8.3%	16.7%	8.3%	8.3%	33.3%	63.1
Ty Lawson	HOU	53	15	3.7%	0.73	11	5	11	45.5	45.5	13.3%	13.3%	13.3%	0.0%	40.0%	28.1
Sonny Weems	PHX	35	15	11.4%	0.73	11	4	11	36.4	45.5	6.7%	26.7%	6.7%	6.7%	26.7%	28.1
Shaun Livingston	GSW	72	18	3.9%	0.61	11	4	16	25.0	25.0	11.1%	5.6%	11.1%	5.6%	27.8%	10.2
Otto Porter Jr.	WAS	69	19	2.4%	0.58	11	5	16	31.3	34.4	0.0%	15.8%	0.0%	0.0%	26.3%	8.0
Justise Winslow	MIA	72	25	4.4%	0.44	11	4	18	22.2	22.2	16.0%	12.0%	16.0%	0.0%	24.0%	4.9
Chase Budinger	IND	47	11	4.5%	0.91	10	3	7	42.9	42.9	18.2%	18.2%	18.2%	0.0%	45.5%	60.7
James Anderson	SAC	35	11	6.9%	0.91	10	4	9	44.4	55.6	0.0%	18.2%	0.0%	0.0%	36.4%	60.7
Brook Lopez	BKN	73	11	0.7%	0.91	10	5	10	50.0	50.0	0.0%	9.1%	0.0%	0.0%	45.5%	60.7
Ray McCallum	MEM	10	12	12.8%	0.83	10	4	12	33.3	41.7	0.0%	0.0%	0.0%	0.0%	33.3%	48.0
Kyle Anderson	SAS	66	18	5.2%	0.56	10	3	13	23.1	23.1	11.1%	16.7%	11.1%	0.0%	27.8%	7.5
Rashad Vaughn	MIL	62	10	4.3%	0.90	9	4	10	40.0	45.0	0.0%	0.0%	0.0%	0.0%	40.0%	58.7
Jon Leuer	PHX	63	10	1.8%	0.90	9	3	10	30.0	40.0	10.0%	0.0%	10.0%	10.0%	30.0%	58.7
Patrick Beverley	HOU	65	13	2.0%	0.69	9	4	12	33.3	37.5	0.0%	7.7%	0.0%	0.0%	30.8%	17.9
Tony Allen	MEM	61	17	3.0%	0.53	9	4	13	30.8	30.8	5.9%	17.6%	5.9%	0.0%	29.4%	6.6
Steve Blake	DET	52	19	6.5%	0.47	9	4	18	22.2	25.0	0.0%	5.3%	0.0%	0.0%	21.1%	5.8
Sasha Vujacic	NYK	52	27	9.7%	0.33	9	4	23	17.4	19.6	0.0%	14.8%	0.0%	0.0%	14.8%	1.8
Rasual Butler	SAS	38	10	8.3%	0.80	8	4	9	44.4	44.4	0.0%	10.0%	0.0%	0.0%	40.0%	41.3
Harrison Barnes	GSW	60	10	1.5%	0.80	8	2	8	25.0	31.3	20.0%	0.0%	20.0%	0.0%	40.0%	41.3
Luke Babbitt	NOP	36	10	4.1%	0.80	8	3	8	37.5	50.0	0.0%	20.0%	0.0%	0.0%	30.0%	41.3
Dirk Nowitzki	DAL	69	10	0.8%	0.80	8	3	7	42.9	50.0	10.0%	20.0%	10.0%	0.0%	40.0%	41.3
Dante Cunningham	NOP	71	10	2.5%	0.80	8	4	9	44.4	44.4	0.0%	10.0%	0.0%	0.0%	40.0%	41.3
Marcelo Huertas	LAL	45	13	5.1%	0.62	8	3	12	25.0	33.3	0.0%	7.7%	0.0%	0.0%	23.1%	10.6
Jabari Parker	MIL	70	17	1.7%	0.47	8	4	15	26.7	26.7	0.0%	11.8%	0.0%	0.0%	23.5%	5.3
PJ Hairston	CHA	46	19	6.0%	0.42	8	4	16	25.0	25.0	0.0%	15.8%	0.0%	0.0%	21.1%	4.4
Tobias Harris	ORL	49	21	3.1%	0.38	8	4	15	26.7	26.7	0.0%	28.6%	0.0%	0.0%	19.0%	3.1
TJ Warren	PHX	47	22	4.4%	0.36	8	4	21	19.0	19.0	0.0%	4.5%	0.0%	0.0%	18.2%	2.2
Ersan Ilyasova	DET	52	10	1.6%	0.70	7	3	8	37.5	43.8	0.0%	20.0%	0.0%	0.0%	30.0%	20.9
Seth Curry	SAC	37	10	5.3%	0.70	7	3	10	30.0	35.0	0.0%	0.0%	0.0%	0.0%	30.0%	20.9
