Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Evan Turner	BOS	76	20	2.2%	0.75	15	6	16	37.5	37.5	10.0%	10.0%	5.0%	0.0%	40.0%	9.7
Meyers Leonard	POR	61	22	4.1%	0.68	15	7	15	46.7	46.7	4.5%	27.3%	4.5%	0.0%	36.4%	5.0
DAngelo Russell	LAL	73	23	2.1%	0.65	15	6	19	31.6	34.2	4.3%	13.0%	4.3%	0.0%	30.4%	3.6
Tony Snell	CHI	60	11	2.8%	1.27	14	7	10	70.0	70.0	0.0%	9.1%	0.0%	0.0%	63.6%	86.5
Lance Stephenson	MEM	21	12	3.8%	1.17	14	6	10	60.0	60.0	8.3%	8.3%	8.3%	0.0%	58.3%	72.0
Josh Smith	LAC	32	12	5.0%	1.17	14	6	10	60.0	60.0	16.7%	0.0%	8.3%	0.0%	66.7%	72.0
Kent Bazemore	ATL	71	13	1.5%	1.08	14	6	12	50.0	50.0	7.7%	0.0%	7.7%	0.0%	53.8%	54.7
Garrett Temple	WAS	72	13	2.3%	1.08	14	7	12	58.3	58.3	7.7%	7.7%	7.7%	7.7%	53.8%	54.7
DeMarre Carroll	TOR	23	13	4.2%	1.08	14	6	12	50.0	50.0	15.4%	0.0%	7.7%	7.7%	53.8%	54.7
Jared Dudley	WAS	75	16	2.8%	0.88	14	6	10	60.0	60.0	12.5%	25.0%	6.3%	0.0%	50.0%	19.0
Goran Dragic	MIA	65	16	1.6%	0.88	14	7	14	50.0	50.0	0.0%	12.5%	0.0%	0.0%	43.8%	19.0
Luc Mbah a Moute	LAC	60	22	9.1%	0.64	14	6	19	31.6	31.6	9.1%	4.5%	4.5%	0.0%	36.4%	2.5
Ryan Kelly	LAL	29	10	6.1%	1.30	13	3	7	42.9	42.9	40.0%	0.0%	30.0%	10.0%	60.0%	91.1
Markel Brown	BKN	55	12	3.5%	1.08	13	5	9	55.6	61.1	8.3%	16.7%	8.3%	0.0%	50.0%	57.3
Donatas Motiejunas	HOU	32	12	5.0%	1.08	13	6	10	60.0	60.0	8.3%	8.3%	8.3%	0.0%	58.3%	57.3
