"","Player","team_id","team_abbreviation","person_id","Team","GP","Poss","Freq","PPP","PTS","FGM","FGA","FG.","eFG.","FT_Freq","TO_Freq","SF_Freq","And_One_Freq","Score_Freq","Percentile","type"
"12","Steven Adams",1610612760,"OKC",203500,"OKC",74,138,0.253,1.12,155,70,111,63.1,63.1,0.116,0.101,0.123,0.029,0.572,0.752,9
"13","Steven Adams",1610612760,"OKC",203500,"OKC",74,37,0.068,1.3,48,18,25,72,72,0.324,0.054,0.324,0.054,0.676,0.84,11
"14","Arron Afflalo",1610612752,"NYK",201167,"NYK",66,70,0.08,0.76,53,24,62,38.7,40.3,0.029,0.086,0.029,0,0.371,0.452,1
"15","Arron Afflalo",1610612752,"NYK",201167,"NYK",66,27,0.031,1.52,41,17,22,77.3,77.3,0.222,0.074,0.148,0.111,0.741,0.927,2
"16","Arron Afflalo",1610612752,"NYK",201167,"NYK",66,61,0.069,0.72,44,20,53,37.7,39.6,0.049,0.082,0.049,0,0.361,0.252,3
"17","Arron Afflalo",1610612752,"NYK",201167,"NYK",66,76,0.086,1.03,78,32,69,46.4,50,0.079,0.039,0.079,0.026,0.474,0.923,4
"18","Arron Afflalo",1610612752,"NYK",201167,"NYK",66,29,0.033,0.62,18,5,8,62.5,68.8,0.138,0.621,0.034,0.034,0.276,0.682,5
"19","Arron Afflalo",1610612752,"NYK",201167,"NYK",66,130,0.148,0.96,125,49,119,41.2,45.8,0.069,0.031,0.069,0.015,0.431,0.544,6
"20","Arron Afflalo",1610612752,"NYK",201167,"NYK",66,153,0.174,1.03,157,67,126,53.2,53.2,0.118,0.111,0.105,0.052,0.503,0.895,7
"21","Arron Afflalo",1610612752,"NYK",201167,"NYK",66,210,0.239,1.01,213,78,192,40.6,52.9,0.029,0.062,0.029,0.005,0.395,0.661,10
"22","Arron Afflalo",1610612752,"NYK",201167,"NYK",66,114,0.13,1.09,124,42,92,45.7,54.3,0.132,0.079,0.114,0.026,0.474,0.465,11
"23","Alexis Ajinca",1610612740,"NOP",201582,"NOP",52,59,0.183,1.08,64,25,47,53.2,53.2,0.153,0.085,0.136,0.034,0.542,0.284,2
"24","Alexis Ajinca",1610612740,"NOP",201582,"NOP",52,24,0.075,0.33,8,1,2,50,50,0.167,0.75,0,0,0.208,0.223,5
"25","Alexis Ajinca",1610612740,"NOP",201582,"NOP",52,11,0.034,1.09,12,6,11,54.5,54.5,0,0,0,0,0.545,0.816,6
"26","Alexis Ajinca",1610612740,"NOP",201582,"NOP",52,30,0.093,0.53,16,8,27,29.6,29.6,0,0.1,0,0,0.267,0.11,7
"27","Alexis Ajinca",1610612740,"NOP",201582,"NOP",52,37,0.115,1.08,40,19,33,57.6,57.6,0.054,0.081,0.054,0.027,0.541,0.564,8
"28","Alexis Ajinca",1610612740,"NOP",201582,"NOP",52,85,0.264,0.91,77,30,66,45.5,45.5,0.141,0.106,0.141,0.024,0.471,0.29,9
"29","Alexis Ajinca",1610612740,"NOP",201582,"NOP",52,51,0.158,0.76,39,19,49,38.8,38.8,0.02,0.02,0,0,0.392,0.188,10
"30","Alexis Ajinca",1610612740,"NOP",201582,"NOP",52,16,0.05,1.06,17,7,14,50,50,0.125,0,0.125,0,0.563,0.408,11
"31","Cole Aldrich",1610612746,"LAC",202332,"LAC",51,58,0.209,0.97,56,21,41,51.2,51.2,0.172,0.121,0.155,0,0.517,0.111,2
"32","Cole Aldrich",1610612746,"LAC",202332,"LAC",51,29,0.105,0.34,10,2,2,100,100,0.172,0.759,0,0,0.207,0.244,5
"33","Cole Aldrich",1610612746,"LAC",202332,"LAC",51,18,0.065,0.67,12,4,11,36.4,36.4,0.167,0.222,0.167,0,0.389,0.186,7
