Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
DeMarre Carroll	TOR	23	25	8.2%	0.48	12	4	20	20.0	27.5	4.0%	12.0%	8.0%	0.0%	20.0%	3.1
Joe Johnson	MIA	17	12	5.8%	0.92	11	5	9	55.6	55.6	8.3%	25.0%	8.3%	8.3%	41.7%	47.8
Greg Monroe	MIL	74	12	1.1%	0.92	11	4	10	40.0	40.0	16.7%	8.3%	16.7%	8.3%	41.7%	47.8
J.J. Barea	DAL	70	14	1.8%	0.79	11	4	11	36.4	36.4	14.3%	14.3%	14.3%	7.1%	35.7%	27.1
Marc Gasol	MEM	52	13	1.4%	0.77	10	5	11	45.5	45.5	0.0%	15.4%	0.0%	0.0%	38.5%	24.2
Kevin Martin	SAS	10	14	21.2%	0.71	10	3	10	30.0	40.0	14.3%	14.3%	14.3%	0.0%	35.7%	16.7
Joe Ingles	UTA	71	10	3.0%	0.90	9	3	9	33.3	50.0	0.0%	10.0%	0.0%	0.0%	30.0%	45.6
Giannis Antetokounmpo	MIL	74	14	1.1%	0.64	9	4	12	33.3	33.3	7.1%	7.1%	7.1%	0.0%	35.7%	11.5
Glenn Robinson III	IND	38	15	9.0%	0.60	9	3	13	23.1	26.9	6.7%	6.7%	6.7%	0.0%	26.7%	8.0
Mario Chalmers	MEM	55	15	2.4%	0.60	9	2	11	18.2	18.2	20.0%	6.7%	20.0%	0.0%	33.3%	8.0
Randy Foye	DEN	54	16	3.9%	0.56	9	4	15	26.7	30.0	0.0%	6.3%	0.0%	0.0%	25.0%	6.6
Ray McCallum	MEM	10	10	10.6%	0.80	8	3	8	37.5	50.0	0.0%	20.0%	0.0%	0.0%	30.0%	30.8
Ish Smith	PHI	45	11	1.3%	0.73	8	3	10	30.0	40.0	0.0%	9.1%	0.0%	0.0%	27.3%	17.6
James Johnson	TOR	54	11	3.6%	0.73	8	3	9	33.3	44.4	0.0%	18.2%	0.0%	0.0%	27.3%	17.6
Jonathan Simmons	SAS	51	12	4.0%	0.67	8	4	10	40.0	40.0	0.0%	16.7%	0.0%	0.0%	33.3%	12.8
Alex Len	PHX	71	13	1.6%	0.62	8	4	11	36.4	36.4	0.0%	15.4%	0.0%	0.0%	30.8%	9.6
Anthony Brown	LAL	27	14	9.4%	0.57	8	3	12	25.0	33.3	0.0%	7.1%	7.1%	0.0%	21.4%	7.0
