"","game_id","player_id","team_id","team_name","period","shot_distance","loc_x","loc_y"
"218","0041400225","201188","1610612763","Memphis Grizzlies","3",20,13.3,20.95
"219","0041400225","201188","1610612763","Memphis Grizzlies","4",10,0.7,15.65
"220","0041400225","201188","1610612763","Memphis Grizzlies","4",9,-9.3,7.55
"221","0041400225","201188","1610612763","Memphis Grizzlies","4",5,2.4,10.45
"222","0041400226","201188","1610612763","Memphis Grizzlies","1",0,0,5.35
"223","0041400226","201188","1610612763","Memphis Grizzlies","1",19,8.6,22.55
"224","0041400226","201188","1610612763","Memphis Grizzlies","1",6,0.7,11.25
"225","0041400226","201188","1610612763","Memphis Grizzlies","1",1,1,5.25
"226","0041400226","201188","1610612763","Memphis Grizzlies","1",0,0,5.35
"227","0041400226","201188","1610612763","Memphis Grizzlies","1",8,0.7,13.25
"228","0041400226","201188","1610612763","Memphis Grizzlies","1",0,0,5.85
"229","0041400226","201188","1610612763","Memphis Grizzlies","2",6,6.1,6.15
"230","0041400226","201188","1610612763","Memphis Grizzlies","2",9,6.4,11.85
"231","0041400226","201188","1610612763","Memphis Grizzlies","2",5,-3.2,9.45
"232","0041400226","201188","1610612763","Memphis Grizzlies","2",14,-12.5,13.05
"233","0041400226","201188","1610612763","Memphis Grizzlies","2",0,0.4,5.25
"234","0041400226","201188","1610612763","Memphis Grizzlies","3",14,0.7,20.15
"235","0041400226","201188","1610612763","Memphis Grizzlies","3",7,-5.9,9.15
"236","0041400226","201188","1610612763","Memphis Grizzlies","3",12,-4.6,16.45
"237","0041400226","201188","1610612763","Memphis Grizzlies","3",18,-13.9,16.75
"238","0041400226","201188","1610612763","Memphis Grizzlies","3",7,2,12.65
"239","0041400226","201188","1610612763","Memphis Grizzlies","3",17,1.3,22.45
"240","0041400226","201188","1610612763","Memphis Grizzlies","4",14,-8.9,16.55
"241","0041400226","201188","1610612763","Memphis Grizzlies","4",4,-4.1,6.45
"242","0041400226","201188","1610612763","Memphis Grizzlies","4",11,0.1,16.75
"243","0041400226","201188","1610612763","Memphis Grizzlies","4",4,-2.9,9.15
"244","0041400226","201188","1610612763","Memphis Grizzlies","4",20,-13.6,20.15
"245","0041400225","203210","1610612763","Memphis Grizzlies","4",17,-9,20.15
