"","grid_type","game_id","game_event_id","player_id","player_name","team_id","team_name","period","minutes_remaining","seconds_remaining","event_type","action_type","shot_type","shot_zone_basic","shot_zone_area","shot_zone_range","shot_distance","loc_x","loc_y","shot_attempted_flag","shot_made_flag","shot_made_numeric","shot_value"
"71","Shot Chart Detail",21400068,441,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,3,41,"Made Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",27,16.5,27.25,1,"made",1,3
"72","Shot Chart Detail",21400068,447,201939,"Stephen Curry",1610612744,"Golden State Warriors",4,3,20,"Made Shot","Floating Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",16,12.2,15.65,1,"made",1,2
"73","Shot Chart Detail",21400087,32,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,8,9,"Made Shot","Reverse Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-1,5.85,1,"made",1,2
"74","Shot Chart Detail",21400087,35,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,7,49,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,2,5.05,1,"made",1,2
"75","Shot Chart Detail",21400087,46,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,7,8,"Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,-0.8,30.75,1,"made",1,3
"76","Shot Chart Detail",21400087,49,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,6,40,"Missed Shot","Turnaround Bank shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-12.7,10.55,1,"missed",0,2
"77","Shot Chart Detail",21400087,91,201939,"Stephen Curry",1610612744,"Golden State Warriors",1,2,20,"Made Shot","Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",22,14.6,22.25,1,"made",1,2
"78","Shot Chart Detail",21400087,210,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,6,39,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-0.2,4.25,1,"made",1,2
"79","Shot Chart Detail",21400087,225,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,5,39,"Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,10.5,29.85,1,"missed",0,3
"80","Shot Chart Detail",21400087,243,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,4,6,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0.6,5.85,1,"missed",0,2
"81","Shot Chart Detail",21400087,274,201939,"Stephen Curry",1610612744,"Golden State Warriors",2,1,56,"Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",19,1,24.75,1,"missed",0,2
"82","Shot Chart Detail",21400087,328,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,10,2,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-15.5,24.15,1,"made",1,3
"83","Shot Chart Detail",21400087,342,201939,"Stephen Curry",1610612744,"Golden State Warriors",3,8,35,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-13.1,25.75,1,"missed",0,3
