"","person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","name"
"72",202710,"Butler, Jimmy","Jimmy Butler",TRUE,2011,2015,"jimmy_butler",1610612741,"Chicago","Bulls","CHI","bulls","Y","Jimmy Butler"
"73",2446,"Butler, Rasual","Rasual Butler",FALSE,2002,2015,"rasual_butler",0,"","","","","Y","Rasual Butler"
"74",203998,"Caboclo, Bruno","Bruno Caboclo",TRUE,2014,2015,"bruno_caboclo",1610612761,"Toronto","Raptors","TOR","raptors","Y","Bruno Caboclo"
"75",101181,"Calderon, Jose","Jose Calderon",TRUE,2005,2015,"jose_calderon",1610612752,"New York","Knicks","NYK","knicks","Y","Jose Calderon"
"76",203484,"Caldwell-Pope, Kentavious","Kentavious Caldwell-Pope",TRUE,2013,2015,"kentavious_caldwell-pope",1610612765,"Detroit","Pistons","DET","pistons","Y","Kentavious Caldwell-Pope"
"77",203477,"Canaan, Isaiah","Isaiah Canaan",TRUE,2013,2015,"isaiah_canaan",1610612755,"Philadelphia","76ers","PHI","sixers","Y","Isaiah Canaan"
"78",203991,"Capela, Clint","Clint Capela",TRUE,2014,2015,"clint_capela",1610612745,"Houston","Rockets","HOU","rockets","Y","Clint Capela"
"79",201960,"Carroll, DeMarre","DeMarre Carroll",TRUE,2009,2015,"demarre_carroll",1610612761,"Toronto","Raptors","TOR","raptors","Y","DeMarre Carroll"
"80",1713,"Carter, Vince","Vince Carter",TRUE,1998,2015,"vince_carter",1610612763,"Memphis","Grizzlies","MEM","grizzlies","Y","Vince Carter"
"81",203487,"Carter-Williams, Michael","Michael Carter-Williams",TRUE,2013,2015,"michael_carter-williams",1610612749,"Milwaukee","Bucks","MIL","bucks","Y","Michael Carter-Williams"
"82",201956,"Casspi, Omri","Omri Casspi",TRUE,2009,2015,"omri_casspi",1610612758,"Sacramento","Kings","SAC","kings","Y","Omri Casspi"
"83",1626161,"Cauley-Stein, Willie","Willie Cauley-Stein",TRUE,2015,2015,"willie_cauley-stein",1610612758,"Sacramento","Kings","SAC","kings","Y","Willie Cauley-Stein"
"84",201596,"Chalmers, Mario","Mario Chalmers",FALSE,2008,2015,"mario_chalmers",0,"","","","","Y","Mario Chalmers"
"85",2199,"Chandler, Tyson","Tyson Chandler",TRUE,2001,2015,"tyson_chandler",1610612756,"Phoenix","Suns","PHX","suns","Y","Tyson Chandler"
"86",201163,"Chandler, Wilson","Wilson Chandler",TRUE,2007,2015,"wilson_chandler",1610612743,"Denver","Nuggets","DEN","nuggets","Y","Wilson Chandler"
"87",1626176,"Christmas, Rakeem","Rakeem Christmas",TRUE,2015,2015,"rakeem_christmas",1610612754,"Indiana","Pacers","IND","pacers","Y","Rakeem Christmas"
"88",203546,"Clark, Ian","Ian Clark",TRUE,2013,2015,"ian_clark",1610612744,"Golden State","Warriors","GSW","warriors","Y","Ian Clark"
"89",1626262,"Clarke, Coty","Coty Clarke",FALSE,2015,2015,"coty_clarke",0,"","","","","Y","Coty Clarke"
"90",203903,"Clarkson, Jordan","Jordan Clarkson",TRUE,2014,2015,"jordan_clarkson",1610612747,"Los Angeles","Lakers","LAL","lakers","Y","Jordan Clarkson"
"91",202708,"Cole, Norris","Norris Cole",TRUE,2011,2015,"norris_cole",1610612740,"New Orleans","Pelicans","NOP","pelicans","Y","Norris Cole"
"92",201954,"Collison, Darren","Darren Collison",TRUE,2009,2015,"darren_collison",1610612758,"Sacramento","Kings","SAC","kings","Y","Darren Collison"
"93",2555,"Collison, Nick","Nick Collison",TRUE,2003,2015,"nick_collison",1610612760,"Oklahoma City","Thunder","OKC","thunder","Y","Nick Collison"
"94",201144,"Conley, Mike","Mike Conley",TRUE,2007,2015,"mike_conley",1610612763,"Memphis","Grizzlies","MEM","grizzlies","Y","Mike Conley"
"95",1626192,"Connaughton, Pat","Pat Connaughton",TRUE,2015,2015,"pat_connaughton",1610612757,"Portland","Trail Blazers","POR","blazers","Y","Pat Connaughton"
"96",203142,"Copeland, Chris","Chris Copeland",FALSE,2012,2015,"chris_copeland",0,"","","","","Y","Chris Copeland"
"97",203955,"Cotton, Bryce","Bryce Cotton",TRUE,2014,2015,"bryce_cotton",1610612763,"Memphis","Grizzlies","MEM","grizzlies","Y","Bryce Cotton"
"98",202326,"Cousins, DeMarcus","DeMarcus Cousins",TRUE,2010,2015,"demarcus_cousins",1610612758,"Sacramento","Kings","SAC","kings","Y","DeMarcus Cousins"
