"","group_set","player1","player2","player3","player4","player5","group_name","team_id","team_abbreviation","gp","w","l","w_pct","min","off_rating","def_rating","net_rating","ast_pct","ast_to","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","pace","pie","group_quantity"
"299","Lineups","201960 "," 201143 "," 201952",NA,NA,"Carroll,DeMarre - Horford,Al - Teague,Jeff","1610612737","ATL","63","46","17","0.73","1159","109.3","100.1","9.2","0.709","1.94","21.3","0.22","0.728","0.486","0.152","0.547","0.582","97.27","0.565",3
"300","Lineups","101162 "," 2403 "," 202322",NA,NA,"Gortat,Marcin - Hilario,Nene - Wall,John","1610612764","WAS","66","37","29","0.561","1159","103.2","95.5","7.8","0.655","1.68","19.6","0.229","0.801","0.52","0.16","0.518","0.549","96.8","0.556",3
"301","Lineups","202339 "," 201609 "," 202693",NA,NA,"Bledsoe,Eric - Dragic,Goran - Morris,Markieff","1610612756","PHX","51","29","22","0.569","1156","106.8","99.8","6.9","0.514","1.35","16.2","0.246","0.731","0.5","0.158","0.531","0.566","99.88","0.545",3
"302","Lineups","202699 "," 203901 "," 202696",NA,NA,"Harris,Tobias - Payton,Elfrid - Vucevic,Nikola","1610612753","ORL","59","16","43","0.271","1152","101.5","107","-5.5","0.578","1.62","17.4","0.248","0.75","0.492","0.145","0.493","0.523","95.74","0.467",3
"303","Lineups","2403 "," 1718 "," 202322",NA,NA,"Hilario,Nene - Pierce,Paul - Wall,John","1610612764","WAS","59","32","27","0.542","1146","104.6","97","7.7","0.649","1.67","19.2","0.228","0.799","0.517","0.157","0.521","0.556","97.37","0.56",3
"304","Lineups","201960 "," 201143 "," 200794",NA,NA,"Carroll,DeMarre - Horford,Al - Millsap,Paul","1610612737","ATL","63","47","16","0.746","1138","109.9","102.1","7.7","0.713","1.98","21.5","0.208","0.73","0.48","0.15","0.555","0.588","97.32","0.555",3
"305","Lineups","2207 "," 201572 "," 101114",NA,NA,"Johnson,Joe - Lopez,Brook - Williams,Deron","1610612751","BKN","58","31","27","0.534","1135","105.9","104.1","1.8","0.554","1.83","17.1","0.234","0.76","0.493","0.124","0.501","0.539","95.18","0.501",3
"306","Lineups","1495 "," 201980 "," 2225",NA,NA,"Duncan,Tim - Green,Danny - Parker,Tony","1610612759","SAS","67","48","19","0.716","1132","109.1","98.6","10.5","0.613","1.93","19.3","0.215","0.775","0.507","0.136","0.538","0.571","96.58","0.562",3
"307","Lineups","203504 "," 202324 "," 202330",NA,NA,"Burke,Trey - Favors,Derrick - Hayward,Gordon","1610612762","UTA","66","31","35","0.47","1123","106.6","107.2","-0.5","0.575","1.6","17.1","0.274","0.763","0.515","0.144","0.509","0.546","94.58","0.506",3
"308","Lineups","202326 "," 200752 "," 203463",NA,NA,"Cousins,DeMarcus - Gay,Rudy - McLemore,Ben","1610612758","SAC","50","21","29","0.42","1117","106.5","102.7","3.8","0.548","1.33","16.1","0.26","0.769","0.526","0.159","0.51","0.563","98.36","0.53",3
