Player	Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq	Percentile
Mike Conley	MEM	56	23	2.6%	1.61	37	14	17	82.4	82.4	26.1%	8.7%	21.7%	8.7%	78.3%	95.6
Andrea Bargnani	BKN	45	28	8.6%	1.32	37	18	27	66.7	66.7	3.6%	3.6%	3.6%	3.6%	64.3%	69.9
Marcus Smart	BOS	55	30	4.8%	1.23	37	17	29	58.6	58.6	6.7%	0.0%	6.7%	3.3%	60.0%	56.4
Jason Smith	ORL	69	36	6.6%	1.03	37	16	31	51.6	51.6	13.9%	5.6%	13.9%	5.6%	52.8%	19.9
Courtney Lee	MEM	51	22	4.5%	1.64	36	15	19	78.9	78.9	13.6%	0.0%	13.6%	0.0%	81.8%	97.6
Wayne Ellington	BKN	70	25	4.4%	1.44	36	15	21	71.4	71.4	16.0%	4.0%	16.0%	4.0%	72.0%	85.4
Patty Mills	SAS	74	29	4.5%	1.24	36	18	26	69.2	69.2	0.0%	10.3%	0.0%	0.0%	62.1%	58.2
Salah Mejri	DAL	22	35	34.3%	1.03	36	14	25	56.0	56.0	17.1%	11.4%	17.1%	0.0%	51.4%	20.2
JJ Hickson	DEN	18	37	24.3%	0.97	36	16	29	55.2	55.2	21.6%	0.0%	18.9%	0.0%	51.4%	11.7
Nick Collison	OKC	50	40	25.3%	0.90	36	15	29	51.7	51.7	7.5%	17.5%	10.0%	0.0%	45.0%	5.9
Marcus Morris	DET	75	21	1.9%	1.67	35	15	19	78.9	78.9	19.0%	0.0%	19.0%	9.5%	81.0%	99.1
Austin Rivers	LAC	62	27	4.7%	1.30	35	16	23	69.6	69.6	7.4%	7.4%	7.4%	0.0%	66.7%	66.7
Mike Muscala	ATL	49	28	15.1%	1.25	35	14	24	58.3	58.3	14.3%	3.6%	14.3%	3.6%	60.7%	59.6
Isaiah Thomas	BOS	76	28	1.6%	1.25	35	15	24	62.5	62.5	21.4%	3.6%	21.4%	10.7%	64.3%	59.6
Archie Goodwin	PHX	50	30	5.6%	1.17	35	15	27	55.6	55.6	23.3%	3.3%	23.3%	16.7%	56.7%	42.7
Richard Jefferson	CLE	65	20	5.6%	1.65	33	14	16	87.5	87.5	20.0%	10.0%	20.0%	10.0%	80.0%	98.5
Kelly Oubre Jr.	WAS	50	23	10.0%	1.43	33	11	15	73.3	73.3	30.4%	13.0%	30.4%	8.7%	69.6%	84.7
Glenn Robinson III	IND	38	23	13.9%	1.43	33	11	15	73.3	73.3	39.1%	4.3%	39.1%	8.7%	78.3%	84.7
Brandon Knight	PHX	52	27	2.4%	1.22	33	14	21	66.7	66.7	14.8%	14.8%	11.1%	7.4%	59.3%	54.3
Joakim Noah	CHI	29	29	14.3%	1.14	33	14	25	56.0	56.0	13.8%	3.4%	13.8%	3.4%	58.6%	37.4
Derrick Rose	CHI	63	42	3.4%	0.79	33	15	38	39.5	39.5	4.8%	4.8%	4.8%	0.0%	40.5%	1.5
Nemanja Bjelica	MIN	51	20	7.6%	1.60	32	14	15	93.3	93.3	15.0%	10.0%	15.0%	0.0%	85.0%	95.3
ETwaun Moore	CHI	57	21	4.8%	1.52	32	15	19	78.9	78.9	4.8%	4.8%	4.8%	0.0%	76.2%	93.0
Monta Ellis	IND	76	24	1.9%	1.33	32	14	18	77.8	77.8	8.3%	16.7%	8.3%	0.0%	66.7%	72.1
Jonathan Simmons	SAS	51	24	8.1%	1.33	32	15	22	68.2	68.2	12.5%	4.2%	12.5%	8.3%	66.7%	72.1
Bobby Portis	CHI	55	28	6.2%	1.14	32	14	22	63.6	63.6	14.3%	14.3%	14.3%	7.1%	57.1%	38.8
Ryan Anderson	NOP	66	29	2.6%	1.10	32	12	22	54.5	54.5	17.2%	6.9%	17.2%	0.0%	58.6%	31.6
Robert Covington	PHI	62	30	3.7%	1.07	32	13	23	56.5	56.5	13.3%	13.3%	13.3%	3.3%	53.3%	24.9
Corey Brewer	HOU	76	32	4.9%	1.00	32	14	25	56.0	56.0	9.4%	12.5%	9.4%	0.0%	50.0%	13.4
Donatas Motiejunas	HOU	32	36	15.1%	0.89	32	13	25	52.0	52.0	11.1%	19.4%	11.1%	0.0%	47.2%	4.4
Markieff Morris	PHX	38	36	6.4%	0.89	32	15	31	48.4	48.4	2.8%	11.1%	0.0%	0.0%	44.4%	4.4
Ben McLemore	SAC	61	31	6.0%	1.00	31	14	26	53.8	53.8	6.5%	9.7%	6.5%	0.0%	51.6%	13.4
Jerian Grant	NYK	70	19	4.2%	1.58	30	13	17	76.5	76.5	21.1%	5.3%	21.1%	15.8%	73.7%	94.2
Jeremy Evans	DAL	23	20	31.7%	1.50	30	14	18	77.8	77.8	10.0%	5.0%	10.0%	5.0%	75.0%	91.4
Solomon Hill	IND	43	21	11.2%	1.43	30	11	16	68.8	68.8	19.0%	4.8%	19.0%	0.0%	71.4%	83.5
Emmanuel Mudiay	DEN	63	27	2.4%	1.11	30	12	22	54.5	54.5	14.8%	7.4%	14.8%	3.7%	55.6%	32.3
Ersan Ilyasova	ORL	18	20	13.2%	1.45	29	11	16	68.8	68.8	20.0%	0.0%	20.0%	0.0%	75.0%	86.0
Kevin Seraphin	NYK	45	26	10.7%	1.12	29	13	23	56.5	56.5	7.7%	7.7%	7.7%	3.8%	53.8%	32.7
Khris Middleton	MIL	76	29	2.1%	0.97	28	12	26	46.2	46.2	10.3%	0.0%	10.3%	0.0%	48.3%	11.1
Kevin Martin	MIN	39	20	4.6%	1.35	27	11	15	73.3	73.3	15.0%	10.0%	10.0%	0.0%	70.0%	74.3
Montrezl Harrell	HOU	29	23	18.4%	1.17	27	11	17	64.7	64.7	21.7%	4.3%	21.7%	0.0%	69.6%	43.6
Anderson Varejao	CLE	31	24	23.5%	1.13	27	11	22	50.0	50.0	12.5%	0.0%	12.5%	4.2%	54.2%	35.1
Kyle Singler	OKC	59	30	12.2%	0.90	27	13	26	50.0	50.0	10.0%	6.7%	10.0%	3.3%	46.7%	5.9
Ryan Hollins	MEM	15	21	30.0%	1.24	26	11	17	64.7	64.7	14.3%	9.5%	14.3%	4.8%	61.9%	57.3
